,Name,Stocktype,Mileage (Miles),Price,Ext_color,Int_color,Transmission,Drivetrain
2721,2004 Nissan Frontier XE-V6 Crew Cab,Used,"201,244 mi.","$6,977",Silver,Other,Automatic,RWD
2722,1999 Toyota Avalon XLS,Used,"206,897 mi.","$3,588",Green,Beige,Automatic,FWD
2723,2013 Volkswagen Passat 2.0 TDI SEL Premium,Volkswagen Certified,"21,438 mi.","$13,939",Red,Black,Automatic,FWD
2724,2001 BMW X5 4.4i,Used,"156,995 mi.","$5,995",Gold,Beige,Automatic,AWD
2725,2018 Toyota Corolla LE,Used,"30,851 mi.","$14,998",Silver,Black,CVT,FWD
2726,2006 Ford Mustang Premium,Used,"153,914 mi.","$7,995",Red,Black,Automatic,RWD
2727,2014 Volkswagen Jetta SportWagen 2.0 TDI,Volkswagen Certified,"52,875 mi.","$13,988",Red,Black,Manual,FWD
2728,2007 Dodge Caliber Base,Used,"128,291 mi.","$4,477",Silver,Other,CVT,FWD
2729,1998 Mazda 626 DX,Used,"226,502 mi.","$2,000",Other,Other,Manual,FWD
2730,2014 Subaru Impreza 2.0i,Used,"152,126 mi.","$7,977",White,Beige,CVT,AWD
2731,2016 Mazda Mazda6 i Touring,Used,"47,260 mi.","$13,900",Blue,Black,Automatic,FWD
2732,2001 Jeep Grand Cherokee Limited,Used,"154,553 mi.","$5,488",Gold,Beige,Automatic,drive
2733,2018 FIAT 500 Lounge,Used,"3,913 mi.","$13,680",White,Black,Automatic,FWD
2734,2013 Volkswagen Passat 2.0 TDI SE,Volkswagen Certified,"51,313 mi.","$11,465",Silver,Black,Automatic,FWD
2735,2004 Ford F-350 XL,Used,"307,648 mi.","$9,995",Black,Gray,Automatic,drive
2736,2013 Volkswagen Passat 2.0 TDI SEL Premium,Volkswagen Certified,"47,222 mi.","$12,763",Black,Black,Automatic,FWD
2737,2007 Jeep Grand Cherokee Overland,Used,"262,326 mi.","$5,488",Silver,Gray,Automatic,drive
2738,2006 Buick LaCrosse CX,Used,"98,672 mi.","$6,977",Brown,Other,Automatic,FWD
2739,2016 Volkswagen Golf SportWagen S,Used,"35,642 mi.","$13,240",Silver,Black,Automatic,FWD
2740,2009 BMW X5 xDrive30i,Used,"49,433 mi.","$12,995",Gold,Beige,Automatic,AWD
2741,2013 Volkswagen Passat 2.0 TDI SEL Premium,Volkswagen Certified,"54,195 mi.","$13,683",Silver,Black,Automatic,FWD
2742,2008 Chevrolet Silverado 1500 Work Truck,Used,"146,053 mi.","$8,995",Other,Other,Automatic,RWD
2743,2005 Honda Odyssey Touring,Used,"171,926 mi.","$5,477",Gray,Gray,Automatic,FWD
2744,2003 GMC Yukon XL 2500 SLE,Used,"207,584 mi.","$5,990",White,Other,Automatic,drive
2745,2006 BMW 650 i,Used,"116,168 mi.","$9,995",Black,Other,Automatic,RWD
2746,2007 Chevrolet HHR LS,Used,"140,687 mi.","$4,995",Blue,Black,Automatic,FWD
2747,2005 Ford Mustang GT,Used,"140,000 mi.","$10,999",Red,Other,Automatic,RWD
2748,2013 Volkswagen Passat 2.0 TDI SE,Volkswagen Certified,"14,753 mi.","$12,888",Silver,Black,Automatic,FWD
2749,2008 BMW X5 3.0si,Used,"110,083 mi.","$9,595",Blue,Beige,Automatic,AWD
2750,2013 BMW 528 i xDrive,Used,"76,330 mi.","$13,990",Gray,Other,Automatic,AWD
2751,2003 Chevrolet Silverado 2500 LS H/D Extended Cab,Used,"253,187 mi.","$12,995",Green,Other,Automatic,drive
2752,2013 Volkswagen Passat 2.0 TDI SEL Premium,Volkswagen Certified,"73,902 mi.","$11,359",Black,Beige,Automatic,FWD
2753,2013 smart ForTwo Pure,Used,"67,978 mi.","$6,599",Black,Black,Automatic,RWD
2754,1998 Chevrolet Tracker,Used,"198,000 mi.","$2,500",Purple,Gray,Automanual,drive
2755,1997 Ford Ranger XL SuperCab,Used,"328,000 mi.","$2,750",Beige,Beige,Manual,drive
2756,2006 Cadillac Escalade ESV,Used,"188,235 mi.","$8,977",Silver,Other,Automatic,AWD
2757,2011 Chevrolet HHR LT,Used,"186,211 mi.","$4,477",Black,Black,Automatic,FWD
2758,2008 Toyota Camry LE,Used,"121,095 mi.","$6,995",Black,Gray,Automatic,FWD
2759,2019 Ford Fiesta SE,Used,"22,937 mi.","$12,172",White,Black,Automatic,FWD
2760,2017 Ford Fusion SE,Used,"28,886 mi.","$14,640",Black,Black,Automatic,FWD
2761,2018 Chevrolet Malibu LT,Used,"28,948 mi.","$14,999",Red,Black,Automatic,FWD
2762,2006 Honda Accord LX,Used,"204,437 mi.","$5,477",Gray,Gray,Automatic,FWD
2763,2005 Chrysler PT Cruiser Base,Used,"110,422 mi.","$3,495",Gold,Gray,Automatic,FWD
2764,2006 Mazda Mazda5 Touring,Used,"169,298 mi.","$5,788",Gray,Black,Automatic,FWD
